asn,ip,bgp_prefix,country,registry,allocated,as_name
270172,2001:1203:a121::1,2001:1203:a100::/40,MX,lacnic,2024-02-27,"AS270172 - Guillermo Robles Ramirez, MX"
270172,2001:1203:a201::1,2001:1203:a200::/40,MX,lacnic,2024-02-27,"AS270172 - Guillermo Robles Ramirez, MX"
270172,2001:1203:a241::1,2001:1203:a200::/40,MX,lacnic,2024-02-27,"AS270172 - Guillermo Robles Ramirez, MX"
270172,2001:1203:a301::1,2001:1203:a300::/40,MX,lacnic,2024-02-27,"AS270172 - Guillermo Robles Ramirez, MX"
270172,2001:1203:a301::3,2001:1203:a300::/40,MX,lacnic,2024-02-27,"AS270172 - Guillermo Robles Ramirez, MX"
270172,2001:1203:a401::1,2001:1203:a000::/36,MX,lacnic,2024-02-27,"AS270172 - Guillermo Robles Ramirez, MX"
270172,2001:1203:a402:0:9209:d0ff:fe19:d4c5,2001:1203:a000::/36,MX,lacnic,2024-02-27,"AS270172 - Guillermo Robles Ramirez, MX"
270172,2001:1203:a521::1,2001:1203:a000::/36,MX,lacnic,2024-02-27,"AS270172 - Guillermo Robles Ramirez, MX"
270172,2001:1203:a600::1,2001:1203:a600::/40,MX,lacnic,2024-02-27,"AS270172 - Guillermo Robles Ramirez, MX"
270172,2001:1203:a700::1,2001:1203:a000::/36,MX,lacnic,2024-02-27,"AS270172 - Guillermo Robles Ramirez, MX"
270172,2001:1203:a701::1,2001:1203:a000::/36,MX,lacnic,2024-02-27,"AS270172 - Guillermo Robles Ramirez, MX"
28461,2001:1204:1::1,2001:1204::/32,MX,lacnic,2024-04-12,"AS28461 - GRUPO SURNET SA DE CV, MX"
28461,2001:1204:1::2,2001:1204::/32,MX,lacnic,2024-04-12,"AS28461 - GRUPO SURNET SA DE CV, MX"
28459,2001:1207:e000::1,2001:1207:e000::/36,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:167f:4ed6:29ff:feb6:8810,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:18d:9af0:83ff:fe88:9fa9,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:19aa:ba85:7bff:feee:69e,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:346:a2f:e9ff:feeb:fadf,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:366a:eaf6:54ff:fee1:1e3b,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:369a:f6a4:d6ff:fe74:7357,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:427:f6e4:51ff:fe51:673a,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:4bb6:e2da:90ff:fee9:ed45,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:4dc:629b:b4ff:febe:e82b,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:4fff:a208:6fff:fe36:34bb,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:564:bad6:f6ff:fea3:14d4,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:57c:3237:b3ff:fef8:18ed,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:57e:2a53:4eff:fe6f:7e08,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:5a0:f6e4:51ff:fe51:ea3f,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:5a46:629b:b4ff:fe64:a203,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:5bc:b66e:8ff:fe66:eae4,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:6470:e682:10ff:fe72:e8f4,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:677:f6e4:51ff:fe53:4e84,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:6f6b:5af9:87ff:fe41:77ab,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:73b8:a244:5cff:fe7a:3684,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:7789:2a11:ecff:fe1a:5774,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
28459,2001:1207:ffff:7795:2e97:b1ff:fefb:5052,2001:1207:ffff::/48,MX,lacnic,2024-07-01,"AS28459 - MICHELLE MORENO MORENO, MX"
