prefix,count,percentage
2001:1284:f502::/48,6125,61.25000000000001
2001:1278:3::/48,174,1.7399999999999998
2001:1278:1::/48,106,1.06
2001:1248:953f::/48,73,0.73
2001:1260:100::/48,69,0.69
2001:1218:2000::/48,64,0.64
2001:1248:9b3f::/48,55,0.5499999999999999
2001:1248:957f::/48,51,0.51
2001:1218:1000::/48,47,0.47000000000000003
2001:1248:9b7f::/48,47,0.47000000000000003
2001:1248:443f::/48,46,0.45999999999999996
2001:1207:ffff::/48,45,0.44999999999999996
2001:1248:5d7f::/48,44,0.44
2001:1218:4000::/48,43,0.43
2001:1248:88ff::/48,41,0.41000000000000003
2001:1248:5dbf::/48,39,0.38999999999999996
2001:1248:447f::/48,37,0.37
2001:1248:a57f::/48,37,0.37
2001:1248:44bf::/48,36,0.36
2001:1278:4000::/48,35,0.35000000000000003
2001:1248:5dff::/48,34,0.33999999999999997
2001:1248:5d3f::/48,30,0.3
2001:1248:303f::/48,28,0.27999999999999997
2001:1248:95ff::/48,28,0.27999999999999997
2001:1248:4d7f::/48,27,0.27
2001:1248:87ff::/48,27,0.27
2001:1248:9cbf::/48,27,0.27
2001:1248:877f::/48,26,0.26
2001:1260:2::/48,26,0.26
2001:1218:3000::/48,25,0.25
